FIPS,X,Y,Year,SMOKING,POVERTY,PM25,NO2,SO2,LBC_RATE
4025,-1498489.345,1412798.518,1998,25.2,13.3,4.93,0.59,0.001,56
4027,-1657902.488,1234156.053,1998,22.7,27.3,8.35,0.58,0,56
5001,422335.6565,1257742.809,1998,29.4,17.8,18.23,1.47,0.028,88
5003,391924.6564,1133376.502,1998,29.3,18.6,18.12,1.4,0.029,84
5005,325944.8231,1477160.052,1998,31.9,13.9,12.64,0.65,0.009,79
5007,155094.5293,1478108.344,1998,28,9.6,14.53,1.2,0.012,71
5009,258755.232,1477267.159,1998,29.4,15.9,11.99,0.53,0.006,73
5011,354204.4236,1162472.481,1998,29.1,20.1,16.71,0.91,0.019,85
5013,322441.5019,1171500.858,1998,29.7,15.4,15.41,0.84,0.018,87
5015,218922.7896,1479770.985,1998,29.8,15.8,12.62,0.64,0.006,67
5017,435421.231,1143899.148,1998,28.1,29.7,18.87,1.42,0.044,88
5019,258696.4416,1224518.294,1998,24.5,18.2,13.95,1.01,0.019,82
5021,496062.5084,1494564.049,1998,32.9,16.6,19.36,1.62,0.03,88
5023,356975.247,1394535.948,1998,27.7,15.5,15,0.85,0.023,83
5025,350188.7783,1210634.808,1998,28.5,15.5,16.05,0.84,0.027,84
5027,256754.7548,1130947.154,1998,26.6,20.9,13.99,1.02,0.023,86
5029,297531.8217,1361313.732,1998,28.6,16.5,15.02,1.14,0.016,82
5031,480321.0855,1433405.663,1998,28.3,15.2,18.1,2.44,0.029,89
5033,157810.2161,1394155.534,1998,30.9,15.3,14.56,1.12,0.012,81
5035,513412.7897,1365386.885,1998,29.9,23.5,18.73,2.42,0.034,82
5037,471183.736,1372833.132,1998,30.4,21,18.29,2.17,0.03,90
5039,306848.4113,1216976.821,1998,29,19.4,14.06,0.76,0.024,85
5041,435913.8349,1207239.844,1998,29,25.2,18.87,1.29,0.037,86
5043,394404.8698,1178013.43,1998,26.5,18.1,17.65,0.95,0.032,81
5045,331289.0617,1349668.8,1998,23.8,10.8,15.54,1.12,0.026,85
5047,189625.6278,1386218.18,1998,30,16.6,13.95,0.87,0.009,80
5049,371643.9693,1489698.908,1998,30,22.1,13.42,0.9,0.015,80
5051,259314.0964,1283332.464,1998,29.7,15.7,14.74,0.9,0.019,80
5053,326626.6293,1253536.526,1998,30.4,11.1,14.89,1.04,0.037,84
5055,485077.6864,1465822.724,1998,31.7,13.4,18.49,1.86,0.028,90
5057,214525.827,1188055.448,1998,28.7,20.5,14.48,0.75,0.028,84
5059,278873.2242,1254962.935,1998,29.3,15.5,13.88,1.09,0.024,80
5061,183788.2959,1226838.439,1998,29.1,17.5,13.6,0.77,0.03,86
5063,396986.1129,1419036.274,1998,29,15.9,16.45,1.05,0.03,86
5065,364580.0196,1457251.02,1998,29.4,20,14.21,0.72,0.019,80
5067,429625.2692,1404670.075,1998,31,22.4,17.76,2.27,0.033,89
5069,371628.2943,1252982.597,1998,27.8,22.5,17.04,1.33,0.039,85
5071,228180.1822,1393640.817,1998,30.4,18.1,13.5,0.65,0.008,84
5073,221537.5884,1132961.495,1998,28.6,24.4,13.79,1.04,0.037,82
5075,436707.5398,1454580.204,1998,32,20.4,17.55,1.59,0.029,84
5077,473424.8955,1315286.981,1998,29.6,33.3,18.59,1.78,0.025,94
5079,391302.5952,1219018.366,1998,28.7,23.4,17.36,0.97,0.033,83
5081,162556.8087,1183225.108,1998,28.6,18,13.55,1.2,0.063,86
5083,206087.9587,1353403.041,1998,31.8,17.8,13.5,0.79,0.01,83
5085,373299.2293,1307381.435,1998,28.5,11.6,17.58,1.62,0.039,86
5087,203229.8493,1442388.352,1998,30.6,18.7,13.03,0.53,0.007,70
5089,295148.9411,1473943.42,1998,31.6,17.9,12.23,0.6,0.007,78
5091,195029.3472,1140265.061,1998,28.7,20,13.97,1.17,0.056,84
5093,532470.4543,1428975.558,1998,31.8,22.9,19.18,2.27,0.032,91
5095,435774.9556,1301719.597,1998,29,27.9,18.35,1.68,0.024,92
5097,213106.9019,1277843.282,1998,30.4,20,13.06,0.61,0.016,84
5099,247970.8945,1180864.704,1998,28.3,18.9,14.31,1.02,0.02,83
5101,248778.5402,1433394.497,1998,29.2,23.3,12.21,0.43,0.006,78
5103,287345.1173,1174251.825,1998,27.7,20.1,14.5,0.79,0.018,84
5105,277874.0963,1325399.075,1998,29.5,14.3,14.47,1,0.019,83
5107,469554.445,1275605.39,1998,28.8,32.6,19.08,1.81,0.023,92
5109,214452.0054,1235896.943,1998,28.8,16.2,13.32,0.75,0.021,80
5111,479240.9242,1404530.665,1998,34.5,21.5,18.48,2.35,0.03,90
5113,161456.3368,1270801.319,1998,28.7,19.9,11.76,0.7,0.024,89
5115,266862.4365,1381043.102,1998,27.1,15.1,13.92,0.98,0.01,82
5117,403371.9341,1317212.819,1998,28.3,17.4,17.98,1.3,0.031,87
5119,334765.1331,1307555.833,1998,26.6,13.7,16.71,1.34,0.038,84
5121,442039.221,1488555.733,1998,30.1,19.1,17.27,1.41,0.024,81
5123,474973.4109,1342390.793,1998,28.9,27.2,18.41,1.81,0.028,97
5125,302180.008,1292556.533,1998,29.6,8.6,15.5,1.01,0.031,83
5127,175621.6712,1313055.744,1998,31.3,20.9,12.89,0.63,0.015,84
5129,295163.9777,1433919.742,1998,30.6,25.7,12.48,0.61,0.008,79
5131,155813.0466,1350516.749,1998,28.8,14.2,13.93,1.11,0.014,86
5133,161324.8127,1216143.217,1998,30.4,18.6,13.55,0.85,0.044,86
5135,402854.2096,1466357.015,1998,30.3,19.2,15.75,0.99,0.024,84
5137,343883.5923,1430021.734,1998,30.1,20.4,13.55,0.59,0.016,80
5139,315228.8032,1128070.39,1998,28.5,17.7,15.02,1.27,0.016,81
5141,312908.4832,1397513.836,1998,28.5,19.4,13.92,0.71,0.013,80
5143,159433.1948,1437877.144,1998,27.2,13,14.09,1.03,0.012,73
5145,383682.6063,1364050.577,1998,26.7,15.9,17.28,1.48,0.03,87
5147,429367.2299,1358372.258,1998,29,26.4,17.54,1.64,0.029,92
5149,234284.15,1330289.996,1998,31.1,16.4,13.84,0.94,0.012,83
6001,-2234722.915,1929488.249,1998,19.8,10.8,8.73,7.77,0,57
6003,-2033713.929,1985978.13,1998,22.1,17.9,5,0.26,0,65
6005,-2107443.207,1987762.827,1998,23.6,11.3,7.7,0.57,0,64
6007,-2150252.492,2140994.288,1998,23.8,19.4,7.07,0.94,0,70
6009,-2106250.83,1959391.645,1998,23.2,11.9,8.65,0.62,0,64
6011,-2217214.631,2102795.251,1998,25.4,18.5,6.93,0.98,0,69
6013,-2229816.674,1959878.901,1998,19.7,8.1,9.23,5.6,0,56
6015,-2270489.272,2417815.955,1998,27.8,20.7,3.09,0.28,0,72
6017,-2087339.323,2020989.03,1998,20.6,8.6,6.12,0.39,0,60
6019,-2070617.273,1782733.704,1998,21.3,24.3,11.17,1.5,0,57
6021,-2217111.972,2151816.274,1998,26,19.7,6.31,0.7,0,74
6023,-2302676.8,2305251.467,1998,23.9,17.8,3.51,0.41,0,73
6025,-1785154,1290267.036,1998,20.9,31.9,6.2,0.94,0.001,56
6027,-1883524.089,1709044.101,1998,26.2,14.3,2.9,0.45,0,67
6029,-2028665.795,1609051.393,1998,25.1,20.5,7.61,1.59,0,60
6031,-2103384.742,1712092.444,1998,22.4,22.8,14.2,2.82,0,58
6033,-2262141.278,2106544.859,1998,27.7,18.6,5.16,0.65,0,63
6035,-2038744.849,2227611.966,1998,26.4,18.1,4.46,0.34,0,72
6037,-2011057.099,1487036.091,1998,18.9,18.9,10.22,6.63,0,49
6039,-2067279.165,1835026.141,1998,24.1,22.9,11.34,1.86,0,59
6041,-2291618.459,1995396.41,1998,17.8,6.6,6.34,2.8,0,54
6043,-2069173.944,1877544.01,1998,22,15.4,9.16,0.8,0,59
6045,-2303830.436,2158440.063,1998,24.2,17.5,3.96,0.66,0,64
6047,-2149157.533,1853334.408,1998,23.5,24.7,12.45,2.65,0,61
6049,-2022988.558,2329663.146,1998,26.8,21.5,4.14,0.26,0,72
6051,-1972999.433,1894718.388,1998,21,11.1,3.39,0.43,0,61
6053,-2221864.764,1759813.569,1998,21,15.4,6.89,1.47,0,52
6055,-2245548.226,2032658.383,1998,22.5,8.7,6.81,1.82,0,59
6057,-2092539.079,2082986.468,1998,22.3,9.4,5.86,0.46,0,60
6059,-1985466.246,1410112.568,1998,18.1,10.1,14.05,7.4,0,50
6061,-2095275.292,2056117.271,1998,20.5,7.1,6.45,0.77,0,59
6063,-2077853.747,2160535.286,1998,23.4,13.1,4.88,0.41,0,66
6065,-1825723.965,1379416.512,1998,22.3,14,6.96,1.98,0.001,57
6067,-2165232.168,2003551.843,1998,22.1,15.9,10.31,3.13,0,63
6069,-2196530.098,1798016.409,1998,20.7,11.1,7.87,1.52,0,52
6071,-1816367.501,1502728.206,1998,23.8,17,6.53,1.16,0.003,62
6073,-1909574.87,1316234.036,1998,19.4,13.1,7.5,2.6,0,54
6075,-2277693.471,1954457.212,1998,20.3,11.7,9.04,6.42,0,54
6077,-2174263.412,1946260.784,1998,24.2,17.6,10.75,3.51,0,63
6079,-2173681.929,1650773.455,1998,20.8,12.2,7.32,0.68,0,56
6081,-2278620.286,1915808.368,1998,18.3,5.9,7.18,4.69,0,52
6083,-2159883.062,1564375.929,1998,19.6,14.1,6.71,2.2,0,49
6085,-2230823.065,1880148.094,1998,16.9,8.2,7.96,5.9,0,48
6087,-2262112.52,1868462.954,1998,18.9,12,7.43,3.89,0,52
6089,-2153086.26,2269411.386,1998,26.6,17.2,4.6,0.46,0,72
6091,-2063687.245,2107644.402,1998,24.3,10.4,4.79,0.36,0,63
6093,-2167666.291,2370091.862,1998,24.2,18.4,3.96,0.35,0,71
6095,-2219662.938,1997853.508,1998,23.1,10.6,9.32,3.54,0,63
6097,-2291018.826,2048296.819,1998,21.9,8.4,5.32,1.37,0,59
6099,-2162312.621,1899377.574,1998,24.5,17.2,11.12,2.87,0,63
6101,-2176828.727,2074846.581,1998,25.9,16.9,8.63,2.01,0,65
6103,-2188079.389,2205051.276,1998,26.3,19.4,5.74,0.81,0,75
6105,-2242989.009,2281865.2,1998,25.8,18.9,4.07,0.31,0,73
6107,-2011603.864,1705935.249,1998,23.3,26.6,8.6,1.28,0,59
6109,-2060895.501,1927044.916,1998,24.9,13.8,7.29,0.39,0,58
6111,-2083748.361,1520098.026,1998,18.6,10,8.64,5.13,0,52
6113,-2204404.971,2042041.544,1998,20.4,14.4,8.57,2.71,0,63
6115,-2141537.715,2092413.039,1998,27.9,23.1,7.8,0.98,0,70
8001,-705894.5167,1903875.48,1998,21.6,10,6.67,1.78,0,48
8003,-854832.5112,1658999.349,1998,20.9,22.8,3.27,0.27,0.002,38
8005,-708156.3946,1878934.37,1998,22,6.1,6.43,1.95,0,49
8007,-969285.3187,1628883.604,1998,22.6,12.7,3.18,0.26,0.02,38
8009,-575413.0221,1606404.107,1998,24.8,19.3,7.49,0.29,0.002,58
8011,-614944.8062,1680647.802,1998,24.6,23.8,7.96,0.42,0.001,52
8013,-789556.0936,1936234.615,1998,21.6,7.7,4.97,1.72,0,48
8014,-765452.9655,1918247.481,1998,21.6,4.6,7.43,3.9,0,49
8015,-876002.4773,1793582.427,1998,23.9,13,3.01,0.18,0.001,44
8017,-567485.0652,1775404.607,1998,23.6,11.6,8.24,0.33,0.001,54
8019,-818288.5988,1893713.78,1998,20.3,7,4.05,0.8,0,48
8021,-894313.4405,1621249.279,1998,22.3,28.3,3.19,0.19,0.005,36
8023,-826731.4276,1622948.605,1998,21.7,31.8,3.86,0.22,0.002,37
